Video_url,action
E:/Project 103/Trimmed Data\NoAction/NoAction_58.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_48.mp4,death
E:/Project 103/Trimmed Data\death/death_11.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_85.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_47.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_54.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_5.mp4,death
E:/Project 103/Trimmed Data\death/death_54.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_51.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_74.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_69.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_53.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_100.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_14.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_58.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_5.mp4,kill
E:/Project 103/Trimmed Data\death/death_36.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_6.mp4,kill
E:/Project 103/Trimmed Data\death/death_88.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_16.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_41.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_82.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_2.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_70.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_75.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_24.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_89.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_19.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_4.mp4,death
E:/Project 103/Trimmed Data\death/death_91.mp4,death
E:/Project 103/Trimmed Data\death/death_3.mp4,death
E:/Project 103/Trimmed Data\death/death_70.mp4,death
E:/Project 103/Trimmed Data\death/death_10.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_48.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_24.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_17.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_30.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_97.mp4,death
E:/Project 103/Trimmed Data\death/death_71.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_3.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_40.mp4,death
E:/Project 103/Trimmed Data\death/death_1.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_7.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_10.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_43.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_50.mp4,death
E:/Project 103/Trimmed Data\death/death_24.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_69.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_27.mp4,kill
E:/Project 103/Trimmed Data\death/death_57.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_52.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_62.mp4,kill
E:/Project 103/Trimmed Data\death/death_15.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_31.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_33.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_22.mp4,kill
E:/Project 103/Trimmed Data\death/death_31.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_3.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_36.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_77.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_10.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_88.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_25.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_4.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_2.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_15.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_78.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_91.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_41.mp4,kill
E:/Project 103/Trimmed Data\death/death_27.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_32.mp4,kill
E:/Project 103/Trimmed Data\death/death_18.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_44.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_93.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_89.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_50.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_64.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_84.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_73.mp4,kill
E:/Project 103/Trimmed Data\death/death_87.mp4,death
E:/Project 103/Trimmed Data\death/death_6.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_87.mp4,NoAction
