image,action
E:/Project 103/Trimmed Data\train_frames\death_101_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_101_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_102_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_102_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_10_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_11_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_13_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_13_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_15_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_15_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_16_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_16_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_18_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_18_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_19_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_1_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_1_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_1_frame2_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_21_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_23_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_24_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_25_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_27_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_27_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_30_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_31_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_32_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_32_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_33_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_34_frame0_death.jpg,death
