Video_url,action
E:/Project 103/Trimmed Data\death/death_38.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_27.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_79.mp4,NoAction
E:/Project 103/Trimmed Data\smoke/smoke_37 .mp4,smoke
E:/Project 103/Trimmed Data\kill/Kill_43.mp4,kill
E:/Project 103/Trimmed Data\smoke/smoke_94 .mp4,smoke
E:/Project 103/Trimmed Data\death/death_1.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_72.mp4,kill
E:/Project 103/Trimmed Data\smoke/smoke_63 .mp4,smoke
E:/Project 103/Trimmed Data\kill/Kill_39.mp4,kill
E:/Project 103/Trimmed Data\smoke/smoke_21 .mp4,smoke
E:/Project 103/Trimmed Data\NoAction/NoAction_65.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_61.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_95.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_20.mp4,kill
E:/Project 103/Trimmed Data\death/death_47.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_76.mp4,kill
E:/Project 103/Trimmed Data\death/death_91.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_2.mp4,kill
E:/Project 103/Trimmed Data\death/death_39.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_14.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_97.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_59.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_50.mp4,kill
E:/Project 103/Trimmed Data\death/death_22.mp4,death
E:/Project 103/Trimmed Data\smoke/smoke_43 .mp4,smoke
E:/Project 103/Trimmed Data\kill/Kill_61.mp4,kill
E:/Project 103/Trimmed Data\death/death_75.mp4,death
E:/Project 103/Trimmed Data\smoke/smoke_85 .mp4,smoke
E:/Project 103/Trimmed Data\death/death_51.mp4,death
E:/Project 103/Trimmed Data\smoke/smoke_46 .mp4,smoke
E:/Project 103/Trimmed Data\smoke/smoke_67 .mp4,smoke
E:/Project 103/Trimmed Data\smoke/smoke_88 .mp4,smoke
E:/Project 103/Trimmed Data\death/death_5.mp4,death
E:/Project 103/Trimmed Data\smoke/smoke_22 .mp4,smoke
E:/Project 103/Trimmed Data\death/death_25.mp4,death
E:/Project 103/Trimmed Data\death/death_94.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_47.mp4,kill
E:/Project 103/Trimmed Data\death/death_70.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_70.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_83.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_4.mp4,NoAction
E:/Project 103/Trimmed Data\smoke/smoke_26 .mp4,smoke
E:/Project 103/Trimmed Data\smoke/smoke_52 .mp4,smoke
E:/Project 103/Trimmed Data\kill/Kill_96.mp4,kill
E:/Project 103/Trimmed Data\smoke/smoke_92 .mp4,smoke
E:/Project 103/Trimmed Data\NoAction/NoAction_63.mp4,NoAction
E:/Project 103/Trimmed Data\smoke/smoke_6 .mp4,smoke
E:/Project 103/Trimmed Data\smoke/smoke_34.mp4,smoke
E:/Project 103/Trimmed Data\NoAction/NoAction_67.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_74.mp4,kill
E:/Project 103/Trimmed Data\death/death_60.mp4,death
E:/Project 103/Trimmed Data\death/death_92.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_70.mp4,kill
E:/Project 103/Trimmed Data\smoke/smoke_49 .mp4,smoke
E:/Project 103/Trimmed Data\kill/Kill_104.mp4,kill
E:/Project 103/Trimmed Data\death/death_13.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_79.mp4,kill
E:/Project 103/Trimmed Data\smoke/smoke_38 .mp4,smoke
E:/Project 103/Trimmed Data\death/death_29.mp4,death
E:/Project 103/Trimmed Data\death/death_83.mp4,death
E:/Project 103/Trimmed Data\death/death_19.mp4,death
E:/Project 103/Trimmed Data\smoke/smoke_19 .mp4,smoke
E:/Project 103/Trimmed Data\death/death_93.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_102.mp4,kill
E:/Project 103/Trimmed Data\death/death_86.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_53.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_8.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_71.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_76.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_85.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_18.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_15.mp4,kill
E:/Project 103/Trimmed Data\smoke/smoke_48 .mp4,smoke
E:/Project 103/Trimmed Data\smoke/smoke_27 .mp4,smoke
E:/Project 103/Trimmed Data\kill/Kill_85.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_55.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_57.mp4,kill
E:/Project 103/Trimmed Data\death/death_63.mp4,death
E:/Project 103/Trimmed Data\death/death_67.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_2.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_54.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_99.mp4,kill
E:/Project 103/Trimmed Data\death/death_61.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_17.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_6.mp4,kill
E:/Project 103/Trimmed Data\death/death_95.mp4,death
E:/Project 103/Trimmed Data\death/death_97.mp4,death
E:/Project 103/Trimmed Data\death/death_28.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_75.mp4,NoAction
E:/Project 103/Trimmed Data\smoke/smoke_40 .mp4,smoke
E:/Project 103/Trimmed Data\smoke/smoke_42 .mp4,smoke
E:/Project 103/Trimmed Data\NoAction/NoAction_11.mp4,NoAction
E:/Project 103/Trimmed Data\smoke/smoke_102 .mp4,smoke
E:/Project 103/Trimmed Data\kill/Kill_45.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_62.mp4,kill
E:/Project 103/Trimmed Data\death/death_64.mp4,death
E:/Project 103/Trimmed Data\smoke/smoke_99 .mp4,smoke
E:/Project 103/Trimmed Data\death/death_50.mp4,death
E:/Project 103/Trimmed Data\smoke/smoke_78 .mp4,smoke
E:/Project 103/Trimmed Data\kill/Kill_42.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_7.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_80.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_78.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_94.mp4,NoAction
E:/Project 103/Trimmed Data\smoke/smoke_8 .mp4,smoke
E:/Project 103/Trimmed Data\death/death_101.mp4,death
E:/Project 103/Trimmed Data\death/death_2.mp4,death
E:/Project 103/Trimmed Data\smoke/smoke_79 .mp4,smoke
E:/Project 103/Trimmed Data\death/death_32.mp4,death
