image,action
E:/Project 103/Trimmed Data\train_frames\death_100_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_100_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_101_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_101_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_11_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_13_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_13_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_15_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_15_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_18_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_18_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_19_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_1_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_1_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_1_frame2_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_22_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_23_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_24_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_25_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_27_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_27_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_28_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_29_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_29_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_2_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_2_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_2_frame2_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_30_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_31_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_32_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_32_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_35_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_38_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_39_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_39_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_3_frame0_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_3_frame1_death.jpg,death
E:/Project 103/Trimmed Data\train_frames\death_43_frame0_death.jpg,death
