Video_url,action
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_13 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_60 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_67 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_97 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_2 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_107 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_57 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponmp7_02.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_38 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_5 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_65 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_49 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_108 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_44 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_64 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_56 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_121 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_53 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_9 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_46 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_54 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponmp7_03.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_96 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_19 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponm4_01.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_137 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_6 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_29 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_73 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_1 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_14 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_144 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_77 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponbizon_01.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_13 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_81 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_120 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_58 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_124 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_20 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_8 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponmp7_17.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_41 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_22 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponmp7_20.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_51 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_58 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_95 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_89 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_139 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_15 .mp4,NoAction
