image,action
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_1 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_1 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_1 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_1 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_1 _frame4_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_10 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_10 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_101 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_101 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_102 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_102 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_102 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_103 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_103 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_105 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_105 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_105 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_105 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_107 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_107 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_107 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_108 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_108 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_108 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_109 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_109 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_109 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_109 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_11 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_11 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_111 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_111 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_113 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_113 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_113 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_114 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_114 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_114 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_114 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_117 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_117 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_117 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_119 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_119 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_120 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_120 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_120 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_120 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_121 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_121 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_121 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_121 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_124 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_124 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_124 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_125 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_125 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_126 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_126 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_129 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_129 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_13 _frame0_death.jpg,death
